license_plate,frame_number,color_verified,data,date
65704402,192,TRUE,"""records"": [{""_id"":3445382,""mispar_rechev"":65704402,""tozeret_cd"":413,""sug_degem"":""P"",""tozeret_nm"":""טויוטה יפן"",""degem_cd"":155,""degem_nm"":""ZVW40L-AWXEBW"",""ramat_gimur"":""ACTIVE"",""ramat_eivzur_betihuty"":1,""kvutzat_zihum"":4,""shnat_yitzur"":2021,""degem_manoa"":""2ZR_"",""mivchan_acharon_dt"":""2024-05-19"",""tokef_dt"":""2025-05-26"",""baalut"":""חברה"",""misgeret"":""JTDZS3EU20J066137"",""tzeva_cd"":80,""tzeva_rechev"":""שנהב לבן"",""zmig_kidmi"":""205/60R16"",""zmig_ahori"":""205/60R16"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":200368,""moed_aliya_lakvish"":""2021-5"",""kinuy_mishari"":""PRIUS PLUS"",""rank"":0.0573088}], """,08/07/2024
2280561,324,TRUE,"""records"": [{""_id"":2901878,""mispar_rechev"":2280561,""tozeret_cd"":413,""sug_degem"":""P"",""tozeret_nm"":""טויוטה יפן"",""degem_cd"":491,""degem_nm"":""ZZE121L-AEPNKW"",""ramat_gimur"":""GLI"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":null,""shnat_yitzur"":2007,""degem_manoa"":""3ZZ"",""mivchan_acharon_dt"":""2024-05-09"",""tokef_dt"":""2025-05-17"",""baalut"":""פרטי"",""misgeret"":""JTDBZ28E170147836"",""tzeva_cd"":29,""tzeva_rechev"":""כסף מטלי"",""zmig_kidmi"":""195/60R15"",""zmig_ahori"":""195/60R15"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":null,""moed_aliya_lakvish"":null,""kinuy_mishari"":""COROLLA"",""rank"":0.0573088}], """,08/07/2024
22738101,420,TRUE,"""records"": [{""_id"":3713900,""mispar_rechev"":22738101,""tozeret_cd"":683,""sug_degem"":""P"",""tozeret_nm"":""סוזוקי-יפן"",""degem_cd"":15,""degem_nm"":""PFH11S"",""ramat_gimur"":""GLX"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":4,""shnat_yitzur"":2017,""degem_manoa"":""K12C"",""mivchan_acharon_dt"":""2024-01-08"",""tokef_dt"":""2024-10-21"",""baalut"":""פרטי"",""misgeret"":""JSAPFH11S00101755"",""tzeva_cd"":80,""tzeva_rechev"":""שנהב לבן"",""zmig_kidmi"":""175/60R16"",""zmig_ahori"":""175/60R16"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":160600,""moed_aliya_lakvish"":""2017-10"",""kinuy_mishari"":""IGNIS"",""rank"":0.0573088}], """,08/07/2024
4701466,510,TRUE,"""records"": [{""_id"":2497330,""mispar_rechev"":4701466,""tozeret_cd"":481,""sug_degem"":""P"",""tozeret_nm"":""יונדאי קוריאה"",""degem_cd"":791,""degem_nm"":""DB51D"",""ramat_gimur"":""INSPIRE"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":15,""shnat_yitzur"":2008,""degem_manoa"":""G4FC"",""mivchan_acharon_dt"":""2023-11-28"",""tokef_dt"":""2024-11-29"",""baalut"":""פרטי"",""misgeret"":""KMHDB51DP9U143784"",""tzeva_cd"":25,""tzeva_rechev"":""כסף"",""zmig_kidmi"":""185/65R15"",""zmig_ahori"":""185/65R15"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":null,""moed_aliya_lakvish"":""2008-11"",""kinuy_mishari"":""I30"",""rank"":0.0573088}], """,08/07/2024
4701466,540,TRUE,"""records"": [{""_id"":2497330,""mispar_rechev"":4701466,""tozeret_cd"":481,""sug_degem"":""P"",""tozeret_nm"":""יונדאי קוריאה"",""degem_cd"":791,""degem_nm"":""DB51D"",""ramat_gimur"":""INSPIRE"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":15,""shnat_yitzur"":2008,""degem_manoa"":""G4FC"",""mivchan_acharon_dt"":""2023-11-28"",""tokef_dt"":""2024-11-29"",""baalut"":""פרטי"",""misgeret"":""KMHDB51DP9U143784"",""tzeva_cd"":25,""tzeva_rechev"":""כסף"",""zmig_kidmi"":""185/65R15"",""zmig_ahori"":""185/65R15"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":null,""moed_aliya_lakvish"":""2008-11"",""kinuy_mishari"":""I30"",""rank"":0.0573088}], """,08/07/2024
24106302,744,TRUE,"""records"": [], """,08/07/2024
3869830,816,TRUE,"""records"": [{""_id"":768836,""mispar_rechev"":3869830,""tozeret_cd"":139,""sug_degem"":""P"",""tozeret_nm"":""מזדה תאילנד"",""degem_cd"":10,""degem_nm"":""DJ6HV"",""ramat_gimur"":""PURE WHITE"",""ramat_eivzur_betihuty"":1,""kvutzat_zihum"":14,""shnat_yitzur"":2017,""degem_manoa"":""P5"",""mivchan_acharon_dt"":""2024-03-22"",""tokef_dt"":""2025-03-08"",""baalut"":""פרטי"",""misgeret"":""MMZDJ6HVAZW252171"",""tzeva_cd"":30,""tzeva_rechev"":""כחול"",""zmig_kidmi"":""185/60R16"",""zmig_ahori"":""185/60R16"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":160158,""moed_aliya_lakvish"":""2017-3"",""kinuy_mishari"":""MAZDA 2"",""rank"":0.0573088}], """,08/07/2024
7096276,1128,TRUE,"""records"": [{""_id"":700040,""mispar_rechev"":7096276,""tozeret_cd"":301,""sug_degem"":""M"",""tozeret_nm"":""פולקסווגן פולי"",""degem_cd"":129,""degem_nm"":""2CBSA2"",""ramat_gimur"":""STARTLINE"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":15,""shnat_yitzur"":2012,""degem_manoa"":""CBZ"",""mivchan_acharon_dt"":""2024-03-22"",""tokef_dt"":""2025-04-04"",""baalut"":""פרטי"",""misgeret"":""WV2ZZZ2KZCX112143"",""tzeva_cd"":22,""tzeva_rechev"":""אפור כהה"",""zmig_kidmi"":""195/65 R15"",""zmig_ahori"":""195/65 R15"",""sug_delek_nm"":""בנזין"",""horaat_rishum"":null,""moed_aliya_lakvish"":""2012-4"",""kinuy_mishari"":""CADDY"",""rank"":0.0573088}], """,08/07/2024
9804037,1164,TRUE,"""records"": [{""_id"":1997101,""mispar_rechev"":9804037,""tozeret_cd"":869,""sug_degem"":""P"",""tozeret_nm"":""קרייזלר ארה\""ב"",""degem_cd"":58,""degem_nm"":""JFAG"",""ramat_gimur"":""LAREDO"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":15,""shnat_yitzur"":2016,""degem_manoa"":""G"",""mivchan_acharon_dt"":""2024-02-19"",""tokef_dt"":""2025-02-10"",""baalut"":""פרטי"",""misgeret"":""1C4RJFAG0FC198542"",""tzeva_cd"":80,""tzeva_rechev"":""שנהב לבן"",""zmig_kidmi"":""265/60R18"",""zmig_ahori"":""265/60R18"",""sug_delek_nm"":""גפ\""מ"",""horaat_rishum"":150314,""moed_aliya_lakvish"":""2016-2"",""kinuy_mishari"":""GRAND CHEROKEE"",""rank"":0.0573088}], """,08/07/2024
9804037,1182,TRUE,"""records"": [{""_id"":1997101,""mispar_rechev"":9804037,""tozeret_cd"":869,""sug_degem"":""P"",""tozeret_nm"":""קרייזלר ארה\""ב"",""degem_cd"":58,""degem_nm"":""JFAG"",""ramat_gimur"":""LAREDO"",""ramat_eivzur_betihuty"":null,""kvutzat_zihum"":15,""shnat_yitzur"":2016,""degem_manoa"":""G"",""mivchan_acharon_dt"":""2024-02-19"",""tokef_dt"":""2025-02-10"",""baalut"":""פרטי"",""misgeret"":""1C4RJFAG0FC198542"",""tzeva_cd"":80,""tzeva_rechev"":""שנהב לבן"",""zmig_kidmi"":""265/60R18"",""zmig_ahori"":""265/60R18"",""sug_delek_nm"":""גפ\""מ"",""horaat_rishum"":150314,""moed_aliya_lakvish"":""2016-2"",""kinuy_mishari"":""GRAND CHEROKEE"",""rank"":0.0573088}], """,08/07/2024
